sample	coverage	taxonomy
25_12_LLN_R1_paired	0.28	Root; d__Bacteria; p__Armatimonadota; c__Zipacnadia
25_12_LLN_R1_paired	0.06	Root; d__Bacteria; p__Cloacimonadota; c__Cloacimonadia
25_12_LLN_R1_paired	0.39	Root; d__Bacteria; p__Thermotogota; c__Thermotogae
25_12_LLN_R1_paired	0.32	Root; d__Bacteria; p__Desulfobacterota_D; c__UBA1144
25_12_LLN_R1_paired	0.69	Root; d__Bacteria; p__Bdellovibrionota_G; c__JALEGL01
25_12_LLN_R1_paired	1.52	Root; d__Bacteria; p__UBA10199; c__UBA10199
25_12_LLN_R1_paired	0.23	Root; d__Bacteria; p__Vulcanimicrobiota; c__Xenobia
25_12_LLN_R1_paired	0.69	Root; d__Bacteria; p__Hinthialibacterota; c__Hinthialibacteria
25_12_LLN_R1_paired	0.46	Root; d__Bacteria; p__Methylomirabilota; c__Methylomirabilia
25_12_LLN_R1_paired	1.03	Root; d__Bacteria; p__Sumerlaeota; c__Sumerlaeia
25_12_LLN_R1_paired	0.06	Root; d__Bacteria; p__4484-113; c__4484-113
25_12_LLN_R1_paired	0.42	Root; d__Bacteria; p__Fibrobacterota; c__Fibrobacteria
25_12_LLN_R1_paired	0.18	Root; d__Bacteria; p__Latescibacterota; c__UBA2968
25_12_LLN_R1_paired	0.39	Root; d__Bacteria; p__SAR324; c__SAR324
25_12_LLN_R1_paired	0.43	Root; d__Bacteria; p__Lernaellota; c__Lernaellaia
25_12_LLN_R1_paired	0.8	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales
25_12_LLN_R1_paired	0.48	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__Bathyarchaeales
25_12_LLN_R1_paired	0.55	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__40CM-2-53-6
25_12_LLN_R1_paired	0.05	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__TCS64
25_12_LLN_R1_paired	1.59	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei_A; o__Sulfolobales
25_12_LLN_R1_paired	0.32	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia; o__Pacearchaeales
25_12_LLN_R1_paired	16.91	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia; o__Woesearchaeales
25_12_LLN_R1_paired	0.74	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia; o__UBA10117
25_12_LLN_R1_paired	2.6	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia; o__SCGC-AAA011-G17
25_12_LLN_R1_paired	0.66	Root; d__Archaea; p__Asgardarchaeota; c__Lokiarchaeia; o__Sigynarchaeales
25_12_LLN_R1_paired	0.36	Root; d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia; o__Heimdallarchaeales
25_12_LLN_R1_paired	0.1	Root; d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia; o__Hodarchaeales
25_12_LLN_R1_paired	0.29	Root; d__Archaea; p__Altiarchaeota; c__Altiarchaeia; o__IMC4
25_12_LLN_R1_paired	2.23	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__Anstonellales
25_12_LLN_R1_paired	0.42	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__Micrarchaeales
25_12_LLN_R1_paired	0.58	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__QMZP01
25_12_LLN_R1_paired	0.75	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__GW2011-AR5
25_12_LLN_R1_paired	0.49	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__CG10238-14
