sample	coverage	taxonomy
10_25_PPT_R1_paired	1.71	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Anaerolineales
10_25_PPT_R1_paired	0.66	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__4572-78
10_25_PPT_R1_paired	1.77	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Aggregatilineales
10_25_PPT_R1_paired	0.93	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__B4-G1
10_25_PPT_R1_paired	0.06	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Epilineales
10_25_PPT_R1_paired	0.15	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__SZUA-161
10_25_PPT_R1_paired	2.12	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__Dehalococcoidales
10_25_PPT_R1_paired	0.06	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia; o__Thermomicrobiales
10_25_PPT_R1_paired	2.53	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobulbia; o__Desulfobulbales
10_25_PPT_R1_paired	21.27	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales
10_25_PPT_R1_paired	0.16	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__C00003060
10_25_PPT_R1_paired	0.76	Root; d__Bacteria; p__Desulfobacterota; c__DSM-4660; o__Desulfatiglandales
10_25_PPT_R1_paired	0.17	Root; d__Bacteria; p__Desulfobacterota; c__WTBG01; o__CAIYCZ01
10_25_PPT_R1_paired	0.06	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobaccia; o__Desulfobaccales
10_25_PPT_R1_paired	1.3	Root; d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Desulfuromonadales
10_25_PPT_R1_paired	0.39	Root; d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Geobacterales
10_25_PPT_R1_paired	0.6	Root; d__Bacteria; p__Desulfobacterota; c__Syntrophia; o__Syntrophales
10_25_PPT_R1_paired	0.57	Root; d__Bacteria; p__Desulfobacterota; c__Desulfarculia; o__Desulfarculales
10_25_PPT_R1_paired	0.4	Root; d__Bacteria; p__Krumholzibacteriota; c__Krumholzibacteriia; o__WVZY01
10_25_PPT_R1_paired	0.07	Root; d__Bacteria; p__Krumholzibacteriota; c__Krumholzibacteriia; o__Krumholzibacteriales
10_25_PPT_R1_paired	4.04	Root; d__Bacteria; p__Bacteroidota_A; c__Rhodothermia; o__Rhodothermales
10_25_PPT_R1_paired	0.32	Root; d__Bacteria; p__Bacteroidota_A; c__Ignavibacteria; o__Ignavibacteriales
10_25_PPT_R1_paired	0.29	Root; d__Bacteria; p__Bacteroidota_A; c__SZUA-365; o__SZUA-365
10_25_PPT_R1_paired	0.4	Root; d__Bacteria; p__Bacteroidota_A; c__Kapaibacteriia; o__Kapaibacteriales
10_25_PPT_R1_paired	4.82	Root; d__Bacteria; p__Myxococcota_A; c__UBA9160; o__UBA9160
10_25_PPT_R1_paired	0.4	Root; d__Bacteria; p__Deinococcota; c__Deinococci; o__Deinococcales
10_25_PPT_R1_paired	0.51	Root; d__Bacteria; p__Zhuqueibacterota; c__Zhuqueibacteria; o__Residuimicrobiales
10_25_PPT_R1_paired	0.88	Root; d__Bacteria; p__Zhuqueibacterota; c__QNDG01; o__QNDG01
10_25_PPT_R1_paired	4.4	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales
10_25_PPT_R1_paired	11.66	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
10_25_PPT_R1_paired	2.16	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales
10_25_PPT_R1_paired	1.69	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales
10_25_PPT_R1_paired	0.15	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__NS11-12g
10_25_PPT_R1_paired	0.06	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__J057
10_25_PPT_R1_paired	0.79	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Longimicrobiales
10_25_PPT_R1_paired	0.47	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales
10_25_PPT_R1_paired	0.17	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Palauibacterales
10_25_PPT_R1_paired	0.28	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Izemoplasmatales
